date_ref_ibge,cd_geocodd,nm_distrit,cd_geocmu,cd_geocuf,sg_uf
2021-06-01,355030819,CAPAO REDONDO,3550308,35,SP
2021-06-01,355030820,CARRAO,3550308,35,SP
2021-06-01,355030821,CASA VERDE,3550308,35,SP
2021-06-01,355030822,CIDADE ADEMAR,3550308,35,SP
2021-06-01,355030823,CIDADE DUTRA,3550308,35,SP
2021-06-01,355030824,CIDADE LIDER,3550308,35,SP
2021-06-01,355030825,CIDADE TIRADENTES,3550308,35,SP
2021-06-01,355030826,CONSOLACAO,3550308,35,SP
2021-06-01,355030827,CURSINO,3550308,35,SP
2021-06-01,355030828,ERMELINO MATARAZZO,3550308,35,SP
2021-06-01,355030829,FREGUESIA DO O,3550308,35,SP
2021-06-01,355030830,GRAJAU,3550308,35,SP
2021-06-01,355030831,GUAIANASES,3550308,35,SP
2021-06-01,355030832,MOEMA,3550308,35,SP
2021-06-01,355030833,IGUATEMI,3550308,35,SP
2021-06-01,355030834,IPIRANGA,3550308,35,SP
2021-06-01,355030835,ITAIM BIBI,3550308,35,SP
2021-06-01,355030836,ITAIM PAULISTA,3550308,35,SP
2021-06-01,355030837,ITAQUERA,3550308,35,SP
2021-06-01,355030838,JABAQUARA,3550308,35,SP
2021-06-01,355030839,JACANA,3550308,35,SP
2021-06-01,355030840,JAGUARA,3550308,35,SP
2021-06-01,355030841,JAGUARE,3550308,35,SP
2021-06-01,355030842,JARAGUA,3550308,35,SP
2021-06-01,355030843,JARDIM ANGELA,3550308,35,SP
2021-06-01,355030844,JARDIM HELENA,3550308,35,SP
2021-06-01,355030845,JARDIM PAULISTA,3550308,35,SP
2021-06-01,355030846,JARDIM SAO LUIS,3550308,35,SP
2021-06-01,355030847,JOSE BONIFACIO,3550308,35,SP
2021-06-01,355030848,LAPA,3550308,35,SP
2021-06-01,355030849,LIBERDADE,3550308,35,SP
2021-06-01,355030850,LIMAO,3550308,35,SP
2021-06-01,355030851,MANDAQUI,3550308,35,SP
2021-06-01,355030864,PONTE RASA,3550308,35,SP
2021-06-01,355030865,RAPOSO TAVARES,3550308,35,SP
2021-06-01,355030866,REPUBLICA,3550308,35,SP
2021-06-01,355030867,RIO PEQUENO,3550308,35,SP
2021-06-01,355030868,SACOMA,3550308,35,SP
2021-06-01,355030869,SANTA CECILIA,3550308,35,SP
2021-06-01,355030870,SANTANA,3550308,35,SP
2021-06-01,355030871,SANTO AMARO,3550308,35,SP
2021-06-01,355030872,SAO LUCAS,3550308,35,SP
2021-06-01,355030873,SAO MATEUS,3550308,35,SP
2021-06-01,355030874,SAO MIGUEL,3550308,35,SP
2021-06-01,355030875,SAO RAFAEL,3550308,35,SP
2021-06-01,355030876,SAPOPEMBA,3550308,35,SP
2021-06-01,355030877,SAUDE,3550308,35,SP
2021-06-01,355030878,SE,3550308,35,SP
2021-06-01,355030879,SOCORRO,3550308,35,SP
2021-06-01,355030880,TATUAPE,3550308,35,SP
2021-06-01,355030881,TREMEMBE,3550308,35,SP
2021-06-01,355030882,TUCURUVI,3550308,35,SP
2021-06-01,355030883,VILA ANDRADE,3550308,35,SP
2021-06-01,355030884,VILA CURUCA,3550308,35,SP
2021-06-01,355030885,VILA FORMOSA,3550308,35,SP
2021-06-01,355030886,VILA GUILHERME,3550308,35,SP
2021-06-01,355030887,VILA JACUI,3550308,35,SP
2021-06-01,355030888,VILA LEOPOLDINA,3550308,35,SP
2021-06-01,355030889,VILA MARIA,3550308,35,SP
2021-06-01,355030890,VILA MARIANA,3550308,35,SP
2021-06-01,355030891,VILA MATILDE,3550308,35,SP
2021-06-01,355030892,VILA MEDEIROS,3550308,35,SP
2021-06-01,355030893,VILA PRUDENTE,3550308,35,SP
2021-06-01,355030894,VILA SONIA,3550308,35,SP
2021-06-01,355030895,SAO DOMINGOS,3550308,35,SP
2021-06-01,355030896,LAJEADO,3550308,35,SP
2021-06-01,355030806,BARRA FUNDA,3550308,35,SP
2021-06-01,355030807,BELA VISTA,3550308,35,SP
2021-06-01,355030808,BELEM,3550308,35,SP
2021-06-01,355030809,BOM RETIRO,3550308,35,SP
2021-06-01,355030810,BRAS,3550308,35,SP
2021-06-01,355030811,BRASILANDIA,3550308,35,SP
2021-06-01,355030812,BUTANTA,3550308,35,SP
2021-06-01,355030813,CACHOEIRINHA,3550308,35,SP
2021-06-01,355030814,CAMBUCI,3550308,35,SP
2021-06-01,355030815,CAMPO BELO,3550308,35,SP
2021-06-01,355030816,CAMPO GRANDE,3550308,35,SP
2021-06-01,355030817,CAMPO LIMPO,3550308,35,SP
2021-06-01,355030818,CANGAIBA,3550308,35,SP
2021-06-01,355030801,AGUA RASA,3550308,35,SP
2021-06-01,355030802,ALTO DE PINHEIROS,3550308,35,SP
2021-06-01,355030803,ANHANGUERA,3550308,35,SP
2021-06-01,355030804,ARICANDUVA,3550308,35,SP
2021-06-01,355030805,ARTUR ALVIM,3550308,35,SP
2021-06-01,355030852,MARSILAC,3550308,35,SP
2021-06-01,355030853,MOOCA,3550308,35,SP
2021-06-01,355030854,MORUMBI,3550308,35,SP
2021-06-01,355030855,PARELHEIROS,3550308,35,SP
2021-06-01,355030856,PARI,3550308,35,SP
2021-06-01,355030857,PARQUE DO CARMO,3550308,35,SP
2021-06-01,355030858,PEDREIRA,3550308,35,SP
2021-06-01,355030859,PENHA,3550308,35,SP
2021-06-01,355030860,PERDIZES,3550308,35,SP
2021-06-01,355030861,PERUS,3550308,35,SP
2021-06-01,355030862,PINHEIROS,3550308,35,SP
2021-06-01,355030863,PIRITUBA,3550308,35,SP